"rawPC_10my";"rawC3t_10my";"rawGF_10my";"raw2f3_10my";"crPC_10my";"crC3t_10my";"crGF_10my";"cr2f3_10my";"sqsPC_10my";"sqsC3t_10my";"sqsGF_10my";"sqs2f3_10my"
"ext. rates with durations";"-0.01";"-0.04";"0.06";"0.02";"-0.07";"-0.18";"-0.06";"-0.14";"0.07";"-0.1";"0.11";"0.02"
"norm. ext. rates with durations";"-0.43";"-0.44";"-0.35";"-0.32";"-0.56";"-0.58";"-0.56";"-0.58";"-0.41";"-0.46";"-0.32";"-0.35"
"orig. rates with durations";"0.29";"0.2";"0.28";"0.29";"0.23";"0.1";"0.18";"0.17";"0.31";"0.16";"0.2";"0.23"
"norm. orig. rates with  durations";"-0.28";"-0.42";"-0.29";"-0.16";"-0.35";"-0.41";"-0.27";"-0.25";"-0.21";"-0.36";"-0.19";"-0.11"
"extinctions";"0.57";"0.58";"0.59";"0.5";"0.55";"0.6";"0.61";"0.55";"0.58";"0.59";"0.64";"0.54"
"post-Ordovician extinctions";"0.3";"0.38";"0.4";"0.23";"0.29";"0.44";"0.42";"0.32";"0.27";"0.37";"0.42";"0.25"
"originations";"0.53";"0.44";"0.47";"0.45";"0.55";"0.44";"0.48";"0.47";"0.55";"0.43";"0.49";"0.45"
"post-Ordovician originations";"0.24";"0.23";"0.23";"0.23";"0.3";"0.28";"0.3";"0.31";"0.25";"0.21";"0.25";"0.24"
"end-Permian ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Triassic ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Cretaceous ME";"yes";"yes";"yes";"yes";"no";"yes";"yes";"yes";"no";"yes";"no";"no"
"end-Permian is highest";"yes";"no";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"number of mass extinctions";"5";"3";"4";"4";"2";"4";"3";"3";"2";"3";"2";"2"
"extinctions log-normal (p-values)";"0.159";"0.489";"0.049";"0.653";"0.119";"0.029";"0.056";"0.062";"0.708";"0.386";"0.356";"0.432"
"originations log-normal (p-values)";"0.181";"0.628";"0.632";"0.002";"0.816";"0.935";"0.993";"0.429";"0.672";"0.842";"0.035";"0.048"
"origination and lagged diversity";"0.24";"0.13";"0.17";"0.15";"0.34";"0.2";"0.25";"0.24";"0.41";"0.28";"0.27";"0.21"
"diversity and lagged extinction";"0.44";"0.28";"0.26";"0.23";"0.35";"0.14";"0.25";"0.22";"0.43";"0.2";"0.24";"0.26"
"extinction and lagged origination";"-0.02";"0.55";"0.24";"0.08";"0.1";"0.68";"0.42";"0.36";"-0.19";"0.49";"0.21";"0.08"
